FID,New_ID,SUM_area_K,SUM_POP_M_,SUM_POP_F_,SUM_POP_TO,SUM_POP_19,SUM_BRIT_E,SUM_BRIT_I,SUM_BRIT_S,SUM_BRIT_O,SUM_FRENCH,SUM_GERMAN,SUM_AUSTRO,SUM_BELGIA,SUM_BULGAR,SUM_CHINES,SUM_DUTCH_,SUM_GREEK_,SUM_HINDU_,SUM_INDIAN,SUM_ITALIA,SUM_JAPANE,SUM_JEWISH,SUM_NEGRO_,SUM_POLISH,SUM_RUSSIA,SUM_SCANDI,SUM_SWISS_,SUM_UNSPEC,R_CODE
35,NS037000,3516.176118980000000,9374.000000000000000,9207.000000000000000,18581.000000000000000,18842.000000000000000,13420.000000000000000,931.000000000000000,1236.000000000000000,35.000000000000000,259.000000000000000,1047.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,514.000000000000000,0.000000000000000,0.000000000000000,70.000000000000000,8.000000000000000,0.000000000000000,4.000000000000000,515.000000000000000,1.000000000000000,0.000000000000000,20.000000000000000,1.000000000000000,516.000000000000000,36
36,NS038000,1561.894001660000000,5915.000000000000000,6047.000000000000000,11962.000000000000000,13617.000000000000000,510.000000000000000,1163.000000000000000,7571.000000000000000,3.000000000000000,2304.000000000000000,29.000000000000000,0.000000000000000,2.000000000000000,0.000000000000000,2.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,143.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,106.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9.000000000000000,111.000000000000000,37
37,NS039000,3723.890371680000000,15435.000000000000000,14453.000000000000000,29888.000000000000000,24650.000000000000000,8037.000000000000000,2367.000000000000000,16890.000000000000000,43.000000000000000,1498.000000000000000,150.000000000000000,94.000000000000000,18.000000000000000,0.000000000000000,6.000000000000000,19.000000000000000,0.000000000000000,0.000000000000000,264.000000000000000,96.000000000000000,0.000000000000000,33.000000000000000,4.000000000000000,0.000000000000000,60.000000000000000,42.000000000000000,0.000000000000000,267.000000000000000,38
38,NS040000,2027.216873420000000,28853.000000000000000,24499.000000000000000,53352.000000000000000,35087.000000000000000,11789.000000000000000,7959.000000000000000,26427.000000000000000,72.000000000000000,2629.000000000000000,520.000000000000000,761.000000000000000,175.000000000000000,0.000000000000000,31.000000000000000,118.000000000000000,55.000000000000000,0.000000000000000,101.000000000000000,713.000000000000000,0.000000000000000,579.000000000000000,285.000000000000000,439.000000000000000,299.000000000000000,138.000000000000000,0.000000000000000,262.000000000000000,39
39,NS041000,3786.859185960000100,11746.000000000000000,11918.000000000000000,23664.000000000000000,24900.000000000000000,6272.000000000000000,5415.000000000000000,10071.000000000000000,94.000000000000000,574.000000000000000,319.000000000000000,27.000000000000000,0.000000000000000,1.000000000000000,3.000000000000000,38.000000000000000,0.000000000000000,0.000000000000000,139.000000000000000,0.000000000000000,0.000000000000000,23.000000000000000,325.000000000000000,2.000000000000000,9.000000000000000,31.000000000000000,285.000000000000000,36.000000000000000,40
40,NS042000,4521.900426590000300,20708.000000000000000,19835.000000000000000,40543.000000000000000,36168.000000000000000,21890.000000000000000,4688.000000000000000,8486.000000000000000,92.000000000000000,3466.000000000000000,440.000000000000000,143.000000000000000,141.000000000000000,1.000000000000000,6.000000000000000,96.000000000000000,0.000000000000000,0.000000000000000,43.000000000000000,36.000000000000000,0.000000000000000,74.000000000000000,445.000000000000000,50.000000000000000,9.000000000000000,134.000000000000000,45.000000000000000,258.000000000000000,41
41,NS043000,2801.570126650000000,10206.000000000000000,9961.000000000000000,20167.000000000000000,20322.000000000000000,8831.000000000000000,567.000000000000000,335.000000000000000,11.000000000000000,9591.000000000000000,181.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,19.000000000000000,0.000000000000000,0.000000000000000,110.000000000000000,4.000000000000000,0.000000000000000,13.000000000000000,440.000000000000000,0.000000000000000,3.000000000000000,12.000000000000000,2.000000000000000,43.000000000000000,42
42,NS044000,4385.253581340000000,8858.000000000000000,8190.000000000000000,17048.000000000000000,18320.000000000000000,5514.000000000000000,3370.000000000000000,4436.000000000000000,16.000000000000000,1710.000000000000000,278.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1010.000000000000000,0.000000000000000,0.000000000000000,46.000000000000000,10.000000000000000,1.000000000000000,0.000000000000000,559.000000000000000,1.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,85.000000000000000,43
43,NS045000,6218.083299380000400,40061.000000000000000,40196.000000000000000,80257.000000000000000,74662.000000000000000,35252.000000000000000,15507.000000000000000,11743.000000000000000,264.000000000000000,4800.000000000000000,7245.000000000000000,14.000000000000000,8.000000000000000,0.000000000000000,49.000000000000000,1530.000000000000000,8.000000000000000,0.000000000000000,77.000000000000000,59.000000000000000,0.000000000000000,258.000000000000000,2210.000000000000000,21.000000000000000,26.000000000000000,271.000000000000000,23.000000000000000,892.000000000000000,44
44,NS046000,3253.315285610000000,10016.000000000000000,9687.000000000000000,19703.000000000000000,20056.000000000000000,9094.000000000000000,3316.000000000000000,4993.000000000000000,37.000000000000000,237.000000000000000,1356.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,138.000000000000000,0.000000000000000,0.000000000000000,77.000000000000000,4.000000000000000,0.000000000000000,3.000000000000000,263.000000000000000,0.000000000000000,1.000000000000000,40.000000000000000,1.000000000000000,138.000000000000000,45
